lemma,definition,count
preciously,extremely,16201
resentfully,with resentment; in a resentful manner,16176
adoringly,with adoration,16092
unwaveringly,with resolute determination,16082
unconventionally,in an unconventional manner,15993
circumspectly,in a cagey manner,15931
effusively,in an effusive manner,15928
caudally,toward the posterior end of the body,15907
laconically,in a dry laconic manner;  he said dryly,15901
incisively,in an incisive manner,15818
typographically,in a typographic way,15797
shoddily,in a shoddy manner,15752
luxuriantly,in an abundant and luxuriant manner,15703
plastically,in a plastic manner,15668
frontally,"in, at, or toward the front",15653
disgustedly,with disgust,15650
impersonally,without warmth,15601
multiplicatively,in a multiplicative manner,15566
altruistically,in an altruistic manner,15521
bilingually,in a bilingual manner,15490
proverbially,in the manner of something that has become a byword,15490
jovially,in a jovial manner,15475
frenetically,in a very agitated manner; as if possessed by an evil spirit,15435
garishly,in a tastelessly garish manner,15423
jarringly,in a manner that jars and irritates,15421
ineluctably,by necessity,15415
fancifully,in a fanciful manner,15363
discursively,in a rambling manner,15333
axiomatically,on the basis of axioms,15317
screamingly,to an extreme degree,15224
cannily,with foresight,15162
inhumanely,in an inhumane manner,15122
foully,in an unfair and insulting manner,15104
belligerently,with hostility; in a belligerent hostile manner,15019
wanly,in a weak or pale or languid manner,14979
abstractedly,in an absentminded or preoccupied manner,14971
jubilantly,in a joyous manner,14932
patriotically,in a patriotic manner,14923
stolidly,in a stolid manner,14911
chastely,in a chaste and virtuous manner,14900
affably,in an affable manner,14890
seriatim,in a series; one after another,14871
volcanically,by or like volcanoes,14862
prosperously,in the manner of prosperous people,14823
incontrovertibly,in an obvious and provable manner,14791
permissibly,in a permissible manner,14690
unutterably,to an inexpressible degree,14666
indefatigably,with indefatigable energy,14620
arduously,in an arduous manner,14582
informatively,in an informative manner,14506
undisputedly,in an unarguable and undisputed manner,14460
pessimistically,with pessimism; in a pessimistic manner,14396
precociously,in a precocious manner,14394
morosely,in a morose manner,14363
pitilessly,without pity; in a merciless manner,14335
rampantly,in an uncontrolled and rampant manner,14266
pretentiously,in a pretentious manner,14218
imploringly,in a beseeching manner,14213
musingly,in a reflective manner,14176
parentally,in a parental manner,14140
exaggeratedly,in an exaggerated manner,14105
symbiotically,in a symbiotic manner,14030
designedly,with intention; in an intentional manner,14022
outlandishly,in an outlandish manner,13923
horridly,in a hideous manner,13904
perfunctorily,in a set manner without serious attention,13896
piercingly,extremely and sharply,13881
scenically,with respect to stage scenery,13848
bashfully,in a shy or timid or bashful manner,13835
inflexibly,in an inflexible manner,13832
dizzily,in a giddy light-headed manner,13793
scholastically,with respect to scholastic activities,13524
improvidently,in an improvident manner,13446
auspiciously,in an auspicious manner,13440
relativistically,by the theory of relativity,13365
tremulously,in a tremulous manner,13252
problematically,in such a way as to pose a problem,13238
bewilderingly,in a bewildering and confusing manner,13221
circumstantially,according to circumstances,13202
reverentially,with reverence; in a reverent manner,13179
raucously,with a raucous sound,13166
disconsolately,in grief-stricken loneliness; without comforting circumstances or prospects,13157
sideway,with one side forward or to the front,13142
chromatically,with respect to color,13122
cozily,in a cozy manner,13103
superlatively,to a superlative degree,13074
belike,with considerable certainty; without much doubt,13002
tardily,without speed (`slow' is sometimes used informally for `slowly'),12996
deceivingly,in a misleading way,12963
demonstratively,in a demonstrative manner,12951
ineffably,to an inexpressible degree,12935
inanely,vacuously or complacently and unconsciously foolish,12924
melodiously,in a melodious manner,12903
deferentially,in a servile manner,12827
jerkily,with spasms,12785
hellishly,extremely,12784
suavely,with suavity; in a suave manner,12776
crookedly,in a crooked lopsided manner,12763
caustically,in a caustic vitriolic manner,12754
insatiably,to an insatiable degree,12717
