lemma,count
home,1276852170
also,616829742
well,519162133
back,488024109
within,261390908
even,245697701
far,205256524
non,196109547
still,190433487
around,178810033
however,163957176
really,162033390
never,149556758
less,145430147
always,127634767
needs,123595776
yet,123160529
away,112837472
least,111229798
already,108324565
daily,105837757
ever,100264634
either,99143011
ago,98839705
usually,94477370
together,94113765
often,92551460
though,91905891
currently,89075990
none,85523201
later,84857974
enough,83592616
along,83444756
soon,77038135
across,76597151
inside,74026748
rather,73664932
actually,69444655
ok,69066566
outside,67415846
almost,66395121
therefore,62082477
simply,62012991
recently,61635402
probably,61626696
thus,59447388
especially,59336380
quite,58777731
forward,58382492
directly,58144287
instead,56499843
longer,54063969
behind,53824933
otherwise,53406486
maybe,51895609
pretty,51621090
throughout,51160616
finally,48999091
fully,48616832
sometimes,47402973
beyond,47315243
highly,42857273
perhaps,42450144
particularly,42160203
easily,41949287
generally,40435813
quickly,40161558
alone,39326417
immediately,37857880
approximately,35797333
automatically,35225937
completely,34385075
earlier,34079706
straight,32551647
clearly,32338676
frequently,32113462
exactly,31759653
nearly,31677743
faster,31541236
bc,30670787
slightly,29994840
originally,29016923
ahead,28375319
previously,27698634
outdoors,27060521
certainly,26984060
indeed,26943016
mostly,26774406
specifically,26114063
yeah,25858426
totally,24276857
extremely,24102186
anyway,24005157
anywhere,23947583
truly,21693553
properly,21137573
newly,21102330
absolutely,20816571
significantly,20660846
tonight,20612955
