lemma,definition,count
home,at or to or in the direction of one's home or family,1276852170
also,in addition,616829742
well,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),519162133
back,in or to or toward a former location,488024109
within,on the inside,261390908
even,used as an intensive especially to indicate something unexpected,245697701
far,to a considerable degree; very much,205256524
non,negation of a word or group of words,196109547
still,"with reference to action or condition; without change, interruption, or cessation",190433487
around,in the area or vicinity,178810033
however,despite anything to the contrary (usually following a concession),163957176
really,in accordance with truth or fact or reality,162033390
never,not ever; at no time in the past or future,149556758
less,used to form the comparative of some adjectives and adverbs,145430147
always,at all times; all the time and on every occasion,127634767
needs,in such a manner as could not be otherwise,123595776
yet,up to the present time,123160529
away,from a particular thing or place or position (`forth' is obsolete),112837472
least,used to form the superlative,111229798
already,prior to a specified or implied time,108324565
daily,every day; without missing a day,105837757
ever,at any time,100264634
either,after a negative statement used as an intensive meaning something like `likewise' or `also',99143011
ago,in the past,98839705
usually,under normal conditions,94477370
together,in contact with each other or in proximity,94113765
often,many times at short intervals,92551460
though,(postpositive) however,91905891
currently,at this time or period; now,89075990
none,not at all or in no way,85523201
later,happening at a time subsequent to a reference time,84857974
enough,as much as necessary; ; (`plenty' is nonstandard),83592616
along,with a forward motion,83444756
soon,in the near future,77038135
across,to the opposite side,76597151
inside,within a building,74026748
rather,on the contrary,73664932
actually,in actual fact,69444655
ok,an expression of agreement normally occurring at the beginning of a sentence,69066566
outside,outside a building,67415846
almost,(of actions or states) slightly short of or not quite accomplished; all but,66395121
therefore,(used to introduce a logical conclusion) from that fact or reason or as a result,62082477
simply,and nothing more,62012991
recently,in the recent past,61635402
probably,with considerable certainty; without much doubt,61626696
thus,(used to introduce a logical conclusion) from that fact or reason or as a result,59447388
especially,to a distinctly greater extent or degree than is common,59336380
quite,to a degree (not used with a negative),58777731
forward,at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations),58382492
directly,without deviation,58144287
instead,"in place of, or as an alternative to",56499843
longer,for more time,54063969
behind,in or to or toward the rear,53824933
otherwise,in other respects or ways,53406486
maybe,by chance,51895609
pretty,to a moderately sufficient extent or degree,51621090
throughout,from first to last,51160616
finally,after an unspecified period of time or an especially long delay,48999091
fully,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form),48616832
sometimes,on certain occasions or in certain cases but not always,47402973
beyond,farther along in space or time or degree,47315243
highly,to a high degree or extent; favorably or with much respect,42857273
perhaps,by chance,42450144
particularly,to a distinctly greater extent or degree than is common,42160203
easily,with ease (`easy' is sometimes used informally for `easily'),41949287
generally,usually; as a rule,40435813
quickly,with rapid movements,40161558
alone,without any others being included or involved,39326417
immediately,without delay or hesitation; with no time intervening,37857880
approximately,(of quantities) imprecise but fairly close to correct,35797333
automatically,in a reflex manner,35225937
completely,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),34385075
earlier,earlier in time; previously,34079706
straight,without deviation,32551647
clearly,without doubt or question,32338676
frequently,many times at short intervals,32113462
exactly,indicating exactness or preciseness,31759653
nearly,(of actions or states) slightly short of or not quite accomplished; all but,31677743
faster,more quickly,31541236
bc,before the Christian era; used following dates before the supposed year Christ was born,30670787
slightly,to a small degree or extent,29994840
originally,in an original manner,29016923
ahead,at or in the front,28375319
previously,at an earlier time or formerly,27698634
outdoors,outside a building,27060521
certainly,definitely or positively (`sure' is sometimes used informally for `surely'),26984060
indeed,in truth (often tends to intensify),26943016
mostly,in large part; mainly or chiefly,26774406
specifically,in distinction from others,26114063
yeah,"not only so, but",25858426
totally,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),24276857
extremely,to a high degree or extent; favorably or with much respect,24102186
anyway,used to indicate that a statement explains or supports a previous statement,24005157
anywhere,at or in or to any place; ; (`anyplace' is used informally for `anywhere'),23947583
truly,in accordance with truth or fact or reality,21693553
properly,in the right manner,21137573
newly,very recently,21102330
absolutely,completely and without qualification; used informally as intensifiers,20816571
significantly,in a statistically significant way,20660846
tonight,during the night of the present day,20612955
