lemma,count
foreknow,16734
dehumanise,16727
scarify,16697
rubberstamp,16644
mistime,16586
transmogrify,16517
brutalise,16468
sough,16442
reshoot,16413
tessellate,16403
desalinate,16401
benumb,16366
traduce,16341
repine,16315
appall,16124
debone,16100
bestir,16037
swinge,15972
imbricate,15888
unbelt,15736
quantise,15702
overexploit,15681
mythologize,15529
unclip,15488
proselytise,15448
analogize,15444
siss,15430
purvey,15385
compartmentalise,15351
gallivant,15346
disfranchise,15338
dichotomize,15322
prognosticate,15269
whistlestop,15267
agglutinate,15265
underquote,15231
schuss,15151
illume,15148
transship,15031
decriminalise,15014
strangulate,14892
ruckle,14800
brecciate,14706
judder,14700
universalize,14679
topdress,14671
betoken,14634
tenderize,14629
romanticise,14625
angulate,14602
confute,14575
criminate,14517
canonise,14503
rejig,14497
quiesce,14452
opsonize,14347
troat,14335
barde,14315
hypophysectomize,14307
cogitate,14302
desex,14260
unbolt,14171
conventionalize,14068
souse,14067
dematerialize,14035
scandalise,13972
catheterize,13966
anglicise,13962
transistorize,13908
sermonize,13809
remold,13793
unweave,13751
fictionalise,13637
intermit,13607
concretize,13587
chaffer,13573
expostulate,13557
attaint,13557
empanel,13524
outdistance,13523
underdress,13477
automatize,13465
chemisorb,13397
iodise,13367
demilitarise,13364
unitise,13315
overstrain,13311
dialyse,13256
afforest,13256
speechify,13140
systematise,13122
systemize,13118
convect,13107
uncoil,13041
lipread,13017
delouse,12942
rusticate,12811
expurgate,12732
concuss,12732
forfend,12724
