lemma,definition,count
foreknow,realize beforehand,16734
dehumanise,deprive of human qualities,16727
scarify,"puncture and scar (the skin), as for purposes or tribal identification or rituals",16697
rubberstamp,"stamp with a rubber stamp, usually an indication of official approval on a document",16644
mistime,time incorrectly,16586
transmogrify,change completely the nature or appearance of,16517
brutalise,treat brutally,16468
sough,make a murmuring sound,16442
reshoot,shoot again,16413
tessellate,"fit together exactly, of identical shapes",16403
desalinate,remove salt from,16401
benumb,make numb or insensitive,16366
traduce,speak unfavorably about,16341
repine,express discontent,16315
appall,strike with disgust or revulsion,16124
debone,remove the bones from,16100
bestir,become active,16037
swinge,burn superficially or lightly,15972
imbricate,place so as to overlap,15888
unbelt,undo the belt of,15736
quantise,approximate (a signal varying continuously in amplitude) by one whose amplitude is restricted to a prescribed set of discrete values,15702
overexploit,exploit excessively,15681
mythologize,construct a myth,15529
unclip,remove the clip from,15488
proselytise,convert to another faith or religion,15448
analogize,make an analogy,15444
siss,express or utter with a hiss,15430
purvey,supply with provisions,15385
compartmentalise,separate into isolated compartments or categories,15351
gallivant,wander aimlessly in search of pleasure,15346
disfranchise,deprive of voting rights,15338
dichotomize,divide into two opposing groups or kinds,15322
prognosticate,make a prediction about; tell in advance,15269
whistlestop,tour the country in order to solicit votes for an election,15267
agglutinate,string together (morphemes in an agglutinating language),15265
underquote,offer for sale at a price lower than the market price,15231
schuss,ski downhill,15151
illume,make lighter or brighter,15148
transship,transfer for further transportation from one ship or conveyance to another,15031
decriminalise,make legal,15014
strangulate,kill by squeezing the throat of so as to cut off the air,14892
ruckle,"make a hoarse, rattling sound",14800
brecciate,form into breccia,14706
judder,shake or vibrate rapidly and intensively,14700
universalize,make universal,14679
topdress,scatter manure or fertilizer over (land),14671
betoken,be a signal for or a symptom of,14634
tenderize,"make tender or more tender as by marinating, pounding, or applying a tenderizer",14629
romanticise,interpret romantically,14625
angulate,make or become angular,14602
confute,prove to be false,14575
criminate,bring an accusation against; level a charge against,14517
canonise,treat as a sacred person,14503
rejig,re-equip a factory or plant,14497
quiesce,become quiet or quieter,14452
opsonize,make (cells) more susceptible to the action of phagocytes,14347
troat,emit a cry intended to attract other animals; used especially of animals at rutting time,14335
barde,put a caparison on,14315
hypophysectomize,remove the pituitary glands,14307
cogitate,consider carefully and deeply; reflect upon; turn over in one's mind,14302
desex,make infertile,14260
unbolt,undo the bolt of,14171
conventionalize,make conventional or adapt to conventions,14068
souse,cover with liquid; pour liquid onto,14067
dematerialize,become immaterial; disappear,14035
scandalise,strike with disgust or revulsion,13972
catheterize,insert a catheter into (a body part),13966
anglicise,make English in appearance,13962
transistorize,equip (an electronic circuit or device) with transistors,13908
sermonize,speak as if delivering a sermon; express moral judgements,13809
remold,cast again,13793
unweave,undo strands that have been woven together,13751
fictionalise,make into fiction,13637
intermit,cease an action temporarily,13607
concretize,make something concrete,13587
chaffer,"wrangle (over a price, terms of an agreement, etc.)",13573
expostulate,reason with (somebody) for the purpose of dissuasion,13557
attaint,bring shame or dishonor upon,13557
empanel,enter into a list of prospective jurors,13524
outdistance,go far ahead of,13523
underdress,dress without sufficient warmth,13477
automatize,turn into an automaton,13465
chemisorb,take up a substance by chemisorption,13397
iodise,treat with iodine,13367
demilitarise,do away with the military organization and potential of,13364
unitise,divide (bulk material) and process as units,13315
overstrain,strain excessively,13311
dialyse,separate by dialysis,13256
afforest,establish a forest on previously unforested land,13256
speechify,"make speeches; hold forth, or harangue with a certain degree of formality",13140
systematise,arrange according to a system or reduce to a system,13122
systemize,arrange according to a system or reduce to a system,13118
convect,circulate hot air by convection,13107
uncoil,unwind or untwist,13041
lipread,interpret by lipreading; of deaf people,13017
delouse,free of lice,12942
rusticate,live in the country and lead a rustic life,12811
expurgate,edit by omitting or modifying parts considered indelicate,12732
concuss,shake violently,12732
forfend,prevent the occurrence of; prevent from happening,12724
