lemma,definition,len_tokens,mean_log_freq,median_log_freq,miss_rate
use,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,10,-3.6527043370172736,-3.7061911606158255,0.0
make,engage in,1,-4.306605069411043,-4.306605069411043,0.0
get,come into the possession of something concrete or abstract,5,-4.024539519782562,-3.963995235271774,0.0
see,perceive by sight or have the power to perceive by sight,5,-4.339926663794548,-4.464567658457755,0.0
find,"come upon, as if by accident; meet with",3,-3.6800379326679553,-3.3316013112912524,0.0
go,"change location; move, travel, or proceed, also metaphorically",7,-3.8740676784011043,-3.4446861697680657,0.0
help,give help or assistance; be of service,4,-3.218044080582977,-3.054677650616575,0.0
review,look at again; examine again,2,-3.7006715428635415,-3.7006715428635415,0.0
link,make a logical or causal connection,4,-4.247347870620603,-4.355615759021259,0.0
say,express in words,2,-3.6471860692615383,-3.6471860692615383,0.0
include,"have as a part, be made up out of",2,-2.987276564981685,-2.987276564981685,0.0
click,move or strike with a noise,3,-4.01548540586904,-4.17426597075425,0.0
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",11,-3.6430793813936018,-3.509907055758428,0.0
take,carry out,1,-3.8476323548004276,-3.8476323548004276,0.0
like,prefer or wish to do something,3,-3.8631075089101743,-3.8016117197755253,0.0
need,"require as useful, just, or proper",3,-3.8862279610836765,-4.004959910563552,0.0
provide,give something useful or necessary to,4,-3.6847748571686187,-3.7789703395447543,0.0
buy,obtain by purchase; acquire by means of a financial transaction,6,-3.882908121244029,-3.764794758517196,0.0
report,to give an account or representation of in words,4,-3.616436274003185,-3.3953799640399653,0.0
show,give an exhibition of to an interested audience,4,-4.040711711169112,-4.3807880320233314,0.25
support,"give moral or psychological support, aid, or courage to",6,-4.076774625212621,-4.227067876489002,0.0
order,give instructions to or direct somebody to do something with authority,6,-3.9297751210531793,-3.8299833454011734,0.0
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,9,-4.000368785537511,-3.816437920848854,0.0
read,interpret something that is written or printed,4,-3.6983538634397943,-3.4962195093771498,0.0
change,cause to change; make different; cause a transformation,6,-3.586617384900565,-3.5902930687444488,0.0
file,record in a public office or in a court of law,5,-3.392498199455724,-3.356337263216184,0.0
set,put into a certain place or abstract location,5,-3.6383152438154944,-3.609164337481311,0.0
look,perceive with attention; direct one's gaze towards,5,-4.386445723831177,-4.2036371480638834,0.0
please,give pleasure to or be pleasing to,3,-3.6307397550443246,-3.1761988390214144,0.0
give,"cause to have, in the abstract sense or physical sense",5,-3.9084625593324005,-3.963995235271774,0.0
design,make or work out a plan for; devise,4,-3.53282158339323,-3.0606252216603416,0.0
call,assign a specified (usually proper) proper name to,6,-3.924076676527213,-4.049562920252887,0.0
write,produce a literary work,3,-3.787649748874509,-3.7790755486961345,0.0
mail,send via the postal service,3,-3.4089093074463226,-3.1999657062882196,0.0
send,cause to go somewhere,3,-3.7291608167987413,-3.6658926923702904,0.0
want,feel or have a desire for; want strongly,4,-3.9007422552836135,-3.919225073300714,0.0
come,"move toward, travel toward something or somebody or approach something or somebody",7,-3.909091533856735,-3.6494344707984254,0.0
follow,"to travel behind, go after, come after",3,-3.129445732001623,-3.2108793490223215,0.0
offer,"make available or accessible, provide or furnish",5,-3.6504819605153456,-3.190092140935058,0.0
think,judge or regard; look upon; judge,4,-3.789494585772703,-3.952677660856332,0.0
base,use as a basis for; found on,3,-3.1561208867371735,-2.8732448889151794,0.0
download,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location,10,-3.496320122206467,-3.4317821033507627,0.0
live,inhabit or live in; be an inhabitant of,3,-4.978243411406411,-5.3938025508162255,0.0
start,take the first step or steps in carrying out an action,6,-3.440539940973816,-3.553120797806619,0.0
end,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",7,-4.714044246342332,-4.790024772691534,0.0
learn,gain knowledge or skills,3,-4.133510720049621,-4.014245223139694,0.0
return,"go or come back to place, condition, or activity where one has been before",6,-3.278984123746762,-3.2395534075289083,0.0
sit,be seated,1,-4.002519885024875,-4.002519885024875,0.0
place,put into a certain place or abstract location,5,-3.6383152438154944,-3.609164337481311,0.0
travel,"change location; move, travel, or proceed, also metaphorically",7,-3.8740676784011043,-3.4446861697680657,0.0
open,cause to open or to become open,4,-3.4168530571370286,-3.3633496727623156,0.0
check,"examine so as to determine accuracy, quality, or condition",5,-3.831912630302115,-3.782036384027888,0.0
reserve,"hold back or set aside, especially for future use or contingency",8,-3.7541768726594444,-3.5949070669299212,0.0
unite,act in concert or unite in a common purpose or belief,6,-3.8610543755448057,-3.7214416905597356,0.0
leave,go away from a place,3,-3.2977475056083847,-3.268227466035495,0.0
guide,direct the course; determine the direction of travelling,5,-3.6634174805717676,-3.647366505424747,0.0
note,make mention of,2,-3.435447471563892,-3.435447471563892,0.0
control,exercise authoritative control or power over,4,-3.9925209776766755,-3.675751501283176,0.0
test,"put to the test, as for its quality, or give experimental use to",6,-3.4484920304893403,-3.4100237990417273,0.0
meet,come together,2,-3.503347690533719,-3.503347690533719,0.0
build,make by combining materials and parts,4,-3.2501537469399007,-3.1615298618671908,0.25
create,make or cause to be or to become,3,-3.3102650384459693,-3.451879154871438,0.0
require,"require as useful, just, or proper",3,-3.8862279610836765,-4.004959910563552,0.0
relate,make a logical or causal connection,4,-4.247347870620603,-4.355615759021259,0.0
update,modernize or bring up to date,3,-4.1249492391054785,-3.6530684030437626,0.0
print,put into print,2,-3.4760844427185926,-3.4760844427185926,0.0
register,record in writing; enter into a book of names or events or transactions,7,-3.4474851807998568,-3.356337263216184,0.0
record,make a record of; set down in permanent form,5,-3.3865315480455793,-3.303860500342529,0.0
play,participate in games or sport,3,-3.454860144880898,-3.265608570198249,0.0
release,"release, as from one's grip",2,-4.020182737675825,-4.020182737675825,0.0
join,become part of; become a member of a group or organization,6,-3.397614554378283,-3.3841229156569046,0.0
love,have a great affection or liking for,3,-3.9087334891222887,-3.2901999715581867,0.0
select,"pick out, select, or choose from a number of alternatives",5,-3.6121905556294194,-3.633532375161147,0.0
visit,"go to see a place, as for entertainment",4,-3.1917858324691046,-3.088113342239599,0.0
care,feel concern or interest,3,-3.5890140489983136,-3.6531471087603506,0.0
reply,react verbally,2,-5.369711238068348,-5.369711238068348,0.0
sell,exchange or deliver for money or its equivalent,4,-3.9047290585906467,-3.870163558750029,0.0
save,"save from ruin, destruction, or harm",4,-4.396062495425128,-4.671374448182998,0.0
run,"move fast by using one's feet, with one foot off the ground at any given time",8,-3.5757477543125775,-3.659421872900274,0.0
mean,mean or intend to express or convey,4,-4.058335239200552,-3.9515844029898988,0.0
compare,examine and note the similarities or differences of,4,-4.18845101535087,-4.177049645273863,0.0
pay,"give money, usually in exchange for goods or services",6,-3.368648276659515,-3.3482384231432936,0.0
receive,get something; come into possession of,4,-3.6214880135926464,-3.4301569099103735,0.0
try,make an effort or attempt,3,-3.6756635590418436,-4.054392713308626,0.0
ask,inquire about,1,-4.861337345182791,-4.861337345182791,0.0
become,enter or assume a certain state or condition,5,-3.5418813373518887,-3.555962064655171,0.0
lead,take somebody somewhere,3,-4.123601094373554,-4.61359053958223,0.0
quote,repeat a passage from,2,-4.502630750619145,-4.502630750619145,0.0
drive,operate or control a vehicle,3,-3.7031693692125174,-3.7467507985120223,0.0
tell,express in words,2,-3.6471860692615383,-3.6471860692615383,0.0
press,exert pressure or force to or upon,3,-4.331321135734767,-4.0137064916166905,0.0
request,express the need or desire for; ask for,4,-3.622948457459713,-3.6277823773004076,0.0
supply,give something useful or necessary to,4,-3.6847748571686187,-3.7789703395447543,0.0
keep,"keep in a certain state, position, or activity; e.g.,",5,-3.5687983401905,-3.6780754674771554,0.0
allow,make it possible through a specific action or lack of action for something to happen,8,-3.5982979107197934,-3.6639499277448593,0.0
hold,"keep in a certain state, position, or activity; e.g.,",5,-3.5687983401905,-3.6780754674771554,0.0
increase,become bigger or greater in amount,4,-3.4630179967267214,-3.442754185978454,0.0
cover,provide with a covering or cause to be covered,4,-3.4386773813200904,-3.512604905565495,0.0
deal,act on verbally or in some form of artistic expression,5,-4.357228606811707,-4.275597145259071,0.0
advertise,call attention to,2,-3.654024385692687,-3.654024385692687,0.0
