lemma,count
use,1466842332
make,904577776
get,901176985
see,796446720
find,787452367
go,726892124
help,685981999
review,682821155
link,615758118
say,613352954
include,601244212
click,566379642
add,547323256
take,545522633
like,543347386
need,523049925
provide,507998184
buy,501845109
report,491958186
show,471043652
support,465896838
order,465140259
know,463201747
read,430853202
change,418715782
file,413587792
set,411008868
look,399551863
please,395962766
give,391985807
design,390437464
call,380252665
write,378567266
mail,377200881
send,371110699
want,361994005
come,361901041
follow,356458375
offer,353464128
think,350786297
base,343632456
download,340244467
live,334021746
start,330672695
end,330540597
learn,325022157
return,321027740
sit,317551928
place,317133204
travel,316235450
open,312355380
check,306450612
reserve,306101301
unite,303771369
leave,289565383
guide,285235837
note,280295603
control,277428171
test,276222914
meet,274074020
build,273457593
create,273329352
require,273221281
relate,268588544
update,267807460
print,266971335
register,262454096
record,258899921
play,258599382
release,248895606
join,247710558
love,243537240
select,241181636
visit,240825692
care,239684919
reply,235623530
sell,233924585
save,233767772
run,233045567
mean,232963974
compare,229133104
pay,219002145
receive,215507508
try,214623600
ask,210704334
become,207773438
lead,202731874
quote,201047944
drive,198559028
tell,196571947
press,193637096
request,191786077
supply,187537500
keep,186345659
allow,184251300
hold,183365977
increase,181786708
cover,180660944
deal,178496928
advertise,176788912
