lemma,definition,count
use,put into service; make work or employ for a particular purpose or for its inherent or natural purpose,1466842332
make,engage in,904577776
get,come into the possession of something concrete or abstract,901176985
see,perceive by sight or have the power to perceive by sight,796446720
find,"come upon, as if by accident; meet with",787452367
go,"change location; move, travel, or proceed, also metaphorically",726892124
help,give help or assistance; be of service,685981999
review,look at again; examine again,682821155
link,make a logical or causal connection,615758118
say,express in words,613352954
include,"have as a part, be made up out of",601244212
click,move or strike with a noise,566379642
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",547323256
take,carry out,545522633
like,prefer or wish to do something,543347386
need,"require as useful, just, or proper",523049925
provide,give something useful or necessary to,507998184
buy,obtain by purchase; acquire by means of a financial transaction,501845109
report,to give an account or representation of in words,491958186
show,give an exhibition of to an interested audience,471043652
support,"give moral or psychological support, aid, or courage to",465896838
order,give instructions to or direct somebody to do something with authority,465140259
know,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,463201747
read,interpret something that is written or printed,430853202
change,cause to change; make different; cause a transformation,418715782
file,record in a public office or in a court of law,413587792
set,put into a certain place or abstract location,411008868
look,perceive with attention; direct one's gaze towards,399551863
please,give pleasure to or be pleasing to,395962766
give,"cause to have, in the abstract sense or physical sense",391985807
design,make or work out a plan for; devise,390437464
call,assign a specified (usually proper) proper name to,380252665
write,produce a literary work,378567266
mail,send via the postal service,377200881
send,cause to go somewhere,371110699
want,feel or have a desire for; want strongly,361994005
come,"move toward, travel toward something or somebody or approach something or somebody",361901041
follow,"to travel behind, go after, come after",356458375
offer,"make available or accessible, provide or furnish",353464128
think,judge or regard; look upon; judge,350786297
base,use as a basis for; found on,343632456
download,transfer a file or program from a central computer to a smaller computer or to a computer at a remote location,340244467
live,inhabit or live in; be an inhabitant of,334021746
start,take the first step or steps in carrying out an action,330672695
end,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",330540597
learn,gain knowledge or skills,325022157
return,"go or come back to place, condition, or activity where one has been before",321027740
sit,be seated,317551928
place,put into a certain place or abstract location,317133204
travel,"change location; move, travel, or proceed, also metaphorically",316235450
open,cause to open or to become open,312355380
check,"examine so as to determine accuracy, quality, or condition",306450612
reserve,"hold back or set aside, especially for future use or contingency",306101301
unite,act in concert or unite in a common purpose or belief,303771369
leave,go away from a place,289565383
guide,direct the course; determine the direction of travelling,285235837
note,make mention of,280295603
control,exercise authoritative control or power over,277428171
test,"put to the test, as for its quality, or give experimental use to",276222914
meet,come together,274074020
build,make by combining materials and parts,273457593
create,make or cause to be or to become,273329352
require,"require as useful, just, or proper",273221281
relate,make a logical or causal connection,268588544
update,modernize or bring up to date,267807460
print,put into print,266971335
register,record in writing; enter into a book of names or events or transactions,262454096
record,make a record of; set down in permanent form,258899921
play,participate in games or sport,258599382
release,"release, as from one's grip",248895606
join,become part of; become a member of a group or organization,247710558
love,have a great affection or liking for,243537240
select,"pick out, select, or choose from a number of alternatives",241181636
visit,"go to see a place, as for entertainment",240825692
care,feel concern or interest,239684919
reply,react verbally,235623530
sell,exchange or deliver for money or its equivalent,233924585
save,"save from ruin, destruction, or harm",233767772
run,"move fast by using one's feet, with one foot off the ground at any given time",233045567
mean,mean or intend to express or convey,232963974
compare,examine and note the similarities or differences of,229133104
pay,"give money, usually in exchange for goods or services",219002145
receive,get something; come into possession of,215507508
try,make an effort or attempt,214623600
ask,inquire about,210704334
become,enter or assume a certain state or condition,207773438
lead,take somebody somewhere,202731874
quote,repeat a passage from,201047944
drive,operate or control a vehicle,198559028
tell,express in words,196571947
press,exert pressure or force to or upon,193637096
request,express the need or desire for; ask for,191786077
supply,give something useful or necessary to,187537500
keep,"keep in a certain state, position, or activity; e.g.,",186345659
allow,make it possible through a specific action or lack of action for something to happen,184251300
hold,"keep in a certain state, position, or activity; e.g.,",183365977
increase,become bigger or greater in amount,181786708
cover,provide with a covering or cause to be covered,180660944
deal,act on verbally or in some form of artistic expression,178496928
advertise,call attention to,176788912
